octree.depth , gpu.grid-partition-size,gpu.memory.cache-enabled,gpu.memory.cache-lines-per-way, mem.cache.l1.hit_count , mem.cache.l1.miss_count , mem.external.read_access_count
5 , 2 , 1 , 32 , 30904  ,  31128  ,  31128
5 , 10 , 1 , 32 , 101488  ,  98522  ,  98522
5 , 20 , 1 , 32 , 112804  ,  110254  ,  110254
5 , 200 , 1 , 32 , 124391  ,  122256  ,  122256
5 , 2 , 0 , 64 , 0  ,  0  ,  62032
5 , 10 , 0 , 64 , 0  ,  0  ,  200010
5 , 20 , 0 , 64 , 0  ,  0  ,  223058
5 , 200 , 0 , 64 , 0  ,  0  ,  246647
5 , 2 , 0 , 128 , 0  ,  0  ,  62032
5 , 10 , 0 , 128 , 0  ,  0  ,  200010
5 , 20 , 0 , 128 , 0  ,  0  ,  223058
5 , 200 , 0 , 128 , 0  ,  0  ,  246647
5 , 2 , 0 , 256 , 0  ,  0  ,  62032
5 , 10 , 0 , 256 , 0  ,  0  ,  200010
5 , 20 , 0 , 256 , 0  ,  0  ,  223058
5 , 200 , 0 , 256 , 0  ,  0  ,  246647
5 , 2 , 0 , 32 , 0  ,  0  ,  62032
5 , 10 , 1 , 64 , 101488  ,  98522  ,  98522
5 , 20 , 1 , 128 , 112804  ,  110254  ,  110254
5 , 200 , 1 , 256 , 124391  ,  122256  ,  122256
5 , 10 , 0 , 32 , 0  ,  0  ,  200010
5 , 20 , 0 , 32 , 0  ,  0  ,  223058
5 , 200 , 0 , 32 , 0  ,  0  ,  246647
5 , 2 , 1 , 64 , 30953  ,  31079  ,  31079
5 , 2 , 1 , 128 , 30953  ,  31079  ,  31079
5 , 2 , 1 , 256 , 30953  ,  31079  ,  31079
6 , 2 , 1 , 32 , 38038  ,  40790  ,  40790
6 , 10 , 1 , 32 , 128094  ,  126313  ,  126313
6 , 20 , 1 , 32 , 142715  ,  141210  ,  141210
6 , 200 , 1 , 32 , 155237  ,  158229  ,  158229
6 , 2 , 0 , 64 , 0  ,  0  ,  78828
6 , 10 , 0 , 64 , 0  ,  0  ,  254407
6 , 20 , 0 , 64 , 0  ,  0  ,  283925
6 , 200 , 0 , 64 , 0  ,  0  ,  313466
6 , 2 , 0 , 128 , 0  ,  0  ,  78828
6 , 10 , 0 , 128 , 0  ,  0  ,  254407
6 , 20 , 0 , 128 , 0  ,  0  ,  283925
6 , 200 , 0 , 128 , 0  ,  0  ,  313466
6 , 2 , 0 , 256 , 0  ,  0  ,  78828
6 , 10 , 0 , 256 , 0  ,  0  ,  254407
6 , 20 , 0 , 256 , 0  ,  0  ,  283925
6 , 200 , 0 , 256 , 0  ,  0  ,  313466
6 , 2 , 0 , 32 , 0  ,  0  ,  78828
6 , 10 , 1 , 64 , 128096  ,  126311  ,  126311
6 , 20 , 1 , 128 , 142715  ,  141210  ,  141210
6 , 200 , 1 , 256 , 155237  ,  158229  ,  158229
6 , 10 , 0 , 32 , 0  ,  0  ,  254407
6 , 20 , 0 , 32 , 0  ,  0  ,  283925
6 , 200 , 0 , 32 , 0  ,  0  ,  313466
6 , 2 , 1 , 64 , 38153  ,  40675  ,  40675
6 , 2 , 1 , 128 , 38151  ,  40677  ,  40677
6 , 2 , 1 , 256 , 38151  ,  40677  ,  40677
7 , 2 , 1 , 32 , 45072  ,  54165  ,  54165
7 , 10 , 1 , 32 , 157864  ,  161598  ,  161598
7 , 20 , 1 , 32 , 176356  ,  180230  ,  180230
7 , 200 , 1 , 32 , 188567  ,  205493  ,  205493
7 , 2 , 0 , 64 , 0  ,  0  ,  99237
7 , 10 , 0 , 64 , 0  ,  0  ,  319462
7 , 20 , 0 , 64 , 0  ,  0  ,  356586
7 , 200 , 0 , 64 , 0  ,  0  ,  394060
7 , 2 , 0 , 128 , 0  ,  0  ,  99237
7 , 10 , 0 , 128 , 0  ,  0  ,  319462
7 , 20 , 0 , 128 , 0  ,  0  ,  356586
7 , 200 , 0 , 128 , 0  ,  0  ,  394060
7 , 2 , 0 , 256 , 0  ,  0  ,  99237
7 , 10 , 0 , 256 , 0  ,  0  ,  319462
7 , 20 , 0 , 256 , 0  ,  0  ,  356586
7 , 200 , 0 , 256 , 0  ,  0  ,  394060
7 , 2 , 0 , 32 , 0  ,  0  ,  99237
7 , 10 , 1 , 64 , 157864  ,  161598  ,  161598
7 , 20 , 1 , 128 , 176356  ,  180230  ,  180230
7 , 200 , 1 , 256 , 188567  ,  205493  ,  205493
7 , 10 , 0 , 32 , 0  ,  0  ,  319462
7 , 20 , 0 , 32 , 0  ,  0  ,  356586
7 , 200 , 0 , 32 , 0  ,  0  ,  394060
7 , 2 , 1 , 64 , 45183  ,  54054  ,  54054
7 , 2 , 1 , 128 , 45183  ,  54054  ,  54054
